front	back
foulard	scarf, headscarf
grand	(adj) big, great, large
argent	1. silver 2. money
chaque	each, every
te	1. thee, to thee, to you 2. you 2 definitions found
bas	1. stocking 2. lower part, foot, bottom
low	2 definitions found
conseiller	(v) advise, counsel
bleu	(adj) 1. blue 2.  [cul] very rare, very slightly cooked<br>(adj) 1. blue 2.  [cul] very rare, very slightly cooked
décor	décor, decoration rendez-vous /ʁɑ̃dˈevˈu/ <n, masc> appointment, date, rendezvous
responsable	(adj) accountable, responsible
prénom	1. first name 2. Christian name<br>1. first name 2. Christian name
madame	1. lady 2. madam, Mrs.<br>1. lady 2. madam, Mrs.
autre	(adj) 1. other, another, else 2. additional, remaining, rest of<br>(adj) 1. other, another, else 2. additional, remaining, rest of
auprès	(adj) close, near, nearby
doux	(adj) mild, gentle, soft, sweet, tender<br>(adj) mild, gentle, soft, sweet, tender
présent	1. (the) present 2. gift, present 2 definitions found
monsieur	1. sir 2. mister, Mr.
plus	(adv) 1. more 2. else, further, on 3. plus<br>(adv) 1. more 2. else, further, on 3. plus
savoir	(v) know, know how
chagrin	affliction, grief, sorrow d'abord /dabɔʀ/ 1. certainly, indeed, rather, surely 2. at first, at the outset, in the beginning 3. at once, instantly, immediately, without delay 4. just, right away, right now 5. first, firstly, first of all arc-en-ciel /ˈaʁkɑ̃sjˈɛl/ <n, masc>
amour	affection, love<br>affection, love<br>affection, love<br>affection, love
chose	1. affair, business, business deal, case, matter 2. thing 3. article, object
depuis	from, since
ciel	heaven, sky<br>heaven, sky
adresse	1. address 2. expertness, skill, skillfulness
tas	1. accumulation, crowd, heap, mass, multitude 2. pile, stack
gueule	jaws, maw
aura	2 definitions found
pas	pace, step, stride<br>pace, step, stride
bon	good, nice, okay<br>good, nice, okay<br>good, nice, okay
sens	meaning, sense
mother	2 definitions found
somme	nap, snooze<br>amount, sum<br>nap, snooze<br>amount, sum
même	(adj) 1. even, same 2. self, herself, himself, itself
vivre	(v) be alive, live
glisser	(v) glide, slip
seul	(adj) alone, only, sole, solitary<br>(adj) alone, only, sole, solitary<br>(adj) alone, only, sole, solitary
malgré	(prep) despite, in spite of, notwithstanding
combien	(adj) 1. how many 2. how much week-end /wikɛnd/ <n, masc> week-end
que	1. that, who 2. than<br>1. that, who 2. than<br>1. that, who 2. than<br>1. that, who 2. than
culotte	1. drawers, panties, underpants 2. short pants, shorts
papa	dad, daddy<br>dad, daddy<br>dad, daddy
vous	(pron) 1. to you, you 2. ye<br>(pron) 1. to you, you 2. ye
mal	1. ache, pain 2. pity 3. bad, miserable, nasty, poor 4. badly<br>1. ache, pain 2. pity 3. bad, miserable, nasty, poor 4. badly
bois	1. forest, woods 2. timber, wood
banal	(adj) commonplace, dismal, trite
mourir	(v) die, expire, pass away
client	client, customer
flot	1. fluid, liquid 2. torrent, volley
vraiment	(adv) absolutely, genuinly, indeed, really, truly
règlement	1. settlement, acquittal, payment, full payment 2. regulations, rules
côte	1. acclivity, hillside, slope 2. coast, seaside, shore
encore	(adv) 1. more, still, yet 2. afresh, again, once more, all over again, anew<br>(adv) 1. more, still, yet 2. afresh, again, once more, all over again, anew
heure	hour, o'clock, time
escalier	staircase, stairs
quelque	a few, any, some
blanc	(adj) 1. white 2. pure
vieille	(adj) 1. decayed, decrepit, dilapidated, lapsed, rickety 2. old
parler	(v) speak, talk
cru	(adj) crude, raw, rough
fond	bottom, foundation, ground
calme	(adj) calm, quiet, tranquil<br>(adj) calm, quiet, tranquil
garde	1. guard 2. conservation, maintenance, preservation, retention 3. protection
comme	1. as, like, such as 2. how 3. as if, as though, in a way 4. because, for the reason that 5. so, such, thus 6. for, since
propre	(adj) 1. own, personal 2. clean, neat, tidy
